Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP16F876A -DL -O11111114 -fo4 -N"F:\MOUSE GLOVE FINAL PRO 2\PRO.mcppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"F:\MOUSE GLOVE FINAL PRO 2\" "PRO.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_C.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
hint: 0	1138	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 125 ms	 
diagnostics: 0	122	Compilation Started	PRO.c
warning: 28	1509	Generated baud rate is 9615 bps (error = 0.16 percent)	PRO.c
diagnostics: 147	123	Compiled Successfully	PRO.c
diagnostics: 0	127	All files Compiled in 312 ms	 
hint: 0	1143	Used RAM (bytes): 119 (34%)  Free RAM (bytes): 233 (66%)	Used RAM (bytes): 119 (34%)  Free RAM (bytes): 233 (66%)
hint: 0	1143	Used ROM (program words): 1805 (22%)  Free ROM (program words): 6387 (78%)	Used ROM (program words): 1805 (22%)  Free ROM (program words): 6387 (78%)
diagnostics: 0	125	Project Linked Successfully	PRO.mcppi
diagnostics: 0	128	Linked in 889 ms	 
diagnostics: 0	129	Project 'PRO.mcppi' completed: 1794 ms	 
diagnostics: 0	103	Finished successfully: 07 Jul 2012, 13:52:58	PRO.mcppi
